"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2026","115.00","117.50","117.60","114.00","10.26M","-2.13%"
"05/10/2026","117.50","117.40","122.00","116.40","17.80M","0.51%"
"05/03/2026","116.90","116.00","117.90","111.80","27.66M","2.36%"
"04/26/2026","114.20","115.80","117.00","110.20","37.83M","-0.70%"
"04/19/2026","115.00","119.70","121.30","114.90","38.41M","-3.77%"
"04/12/2026","119.50","118.10","120.00","115.70","34.35M","-2.69%"
"04/05/2026","122.80","119.00","125.00","114.70","15.79M","3.19%"
"03/29/2026","119.00","118.50","119.00","112.80","23.88M","-0.08%"
"03/22/2026","119.10","117.00","122.00","113.20","23.29M","-1.98%"
"03/15/2026","121.50","122.00","122.80","117.70","14.14M","-0.41%"
"03/08/2026","122.00","124.90","124.90","119.30","17.69M","-2.40%"
"03/01/2026","125.00","136.00","137.80","125.00","19.68M","-8.96%"
"02/22/2026","137.30","138.80","140.00","135.50","18.48M","-1.08%"
"02/15/2026","138.80","136.40","139.20","135.00","6.60M","2.06%"
"02/08/2026","136.00","139.80","141.80","136.00","14.45M","-3.13%"
"02/01/2026","140.40","137.40","140.40","135.30","10.11M","4.00%"
"01/25/2026","135.00","139.80","140.20","132.00","18.85M","-2.17%"
"01/18/2026","138.00","143.00","143.80","137.50","10.98M","-3.36%"
"01/11/2026","142.80","140.00","143.20","138.50","15.46M","2.66%"
"01/04/2026","139.10","137.50","144.60","136.20","26.09M","0.07%"
"12/28/2025","139.00","135.30","139.00","134.50","5.99M","2.96%"
"12/21/2025","135.00","128.50","135.10","128.30","11.01M","5.47%"
"12/14/2025","128.00","127.00","131.80","126.10","23.27M","0.63%"
"12/07/2025","127.20","120.00","127.40","118.60","32.95M","3.58%"
"11/30/2025","122.80","132.00","132.00","121.80","30.88M","-6.26%"
"11/23/2025","131.00","131.50","132.00","126.50","37.69M","-0.38%"
"11/16/2025","131.50","120.00","132.50","120.00","16.72M","10.50%"
"11/09/2025","119.00","132.00","132.90","119.00","20.32M","-9.85%"
"11/02/2025","132.00","128.00","135.40","125.70","23.60M","-1.12%"
"10/26/2025","133.50","134.10","138.40","130.00","17.55M","-1.77%"
"10/19/2025","135.90","139.70","140.50","134.60","13.23M","-2.72%"
"10/12/2025","139.70","134.80","140.80","134.00","12.40M","3.64%"
"10/05/2025","134.80","138.60","142.90","134.80","21.15M","-2.32%"
"09/28/2025","138.00","138.60","139.90","132.90","19.65M","-0.43%"
"09/21/2025","138.60","149.50","149.50","136.00","21.33M","-8.15%"
"09/14/2025","150.90","138.00","150.90","135.50","21.59M","9.35%"
"09/07/2025","138.00","134.00","139.40","133.50","15.81M","3.45%"
"08/31/2025","133.40","135.20","137.30","132.00","11.22M","-1.33%"
"08/24/2025","135.20","140.00","142.00","131.20","37.16M","-5.19%"
"08/17/2025","142.60","145.00","145.50","140.20","10.33M","-1.66%"
"08/10/2025","145.00","143.00","146.10","137.00","20.22M","1.40%"
"08/03/2025","143.00","145.00","145.80","141.70","12.30M","0.00%"
"07/27/2025","143.00","151.50","151.50","142.00","18.71M","-6.04%"
"07/20/2025","152.20","150.90","153.90","148.20","8.70M","0.79%"
"07/13/2025","151.00","152.00","153.00","147.20","11.87M","0.13%"
"07/06/2025","150.80","155.00","156.40","150.70","8.38M","-2.71%"
"06/29/2025","155.00","155.40","157.00","148.20","16.13M","-0.64%"
"06/22/2025","156.00","152.20","157.50","151.00","10.16M","1.89%"
"06/15/2025","153.10","159.80","159.80","151.50","17.78M","-4.73%"
"06/08/2025","160.70","157.00","161.50","155.60","18.50M","3.15%"
"06/01/2025","155.80","161.00","163.40","155.70","13.41M","-3.23%"
"05/25/2025","161.00","162.50","165.20","158.90","16.05M","-1.53%"
"05/18/2025","163.50","159.70","163.50","153.40","18.46M","2.87%"
"05/11/2025","158.94","166.07","166.86","155.27","14.77M","-3.43%"
"05/04/2025","164.58","159.04","166.67","155.47","24.04M","3.81%"
"04/27/2025","158.54","161.51","163.30","154.08","17.15M","-1.53%"
"04/20/2025","161.00","161.50","165.50","159.80","20.89M","0.00%"
"04/13/2025","161.00","159.00","161.00","157.40","8.05M","0.63%"
"04/06/2025","160.00","148.20","166.00","146.00","30.67M","2.83%"
"03/30/2025","155.60","154.10","158.20","153.10","10.72M","1.04%"
"03/23/2025","154.00","160.00","160.00","152.20","12.42M","-3.93%"
"03/16/2025","160.30","164.90","165.50","159.10","23.96M","-2.85%"
"03/09/2025","165.00","153.80","166.80","151.60","27.96M","4.76%"
"03/02/2025","157.50","150.00","157.70","145.10","24.00M","5.00%"
"02/23/2025","150.00","142.20","153.00","139.70","19.83M","5.63%"
"02/16/2025","142.00","137.00","145.50","136.80","9.43M","3.65%"
"02/09/2025","137.00","139.20","141.50","134.80","19.82M","-1.23%"
"02/02/2025","138.70","141.80","147.40","136.20","18.81M","0.80%"
"01/26/2025","137.60","141.50","142.50","137.60","12.98M","-2.06%"
"01/19/2025","140.50","141.40","147.60","140.30","15.09M","-3.10%"
"01/12/2025","145.00","147.70","147.90","138.00","13.81M","-1.69%"
"01/05/2025","147.50","145.20","148.70","144.30","10.84M","1.72%"
"12/29/2024","145.00","143.30","146.50","142.10","3.57M","0.69%"
"12/22/2024","144.00","144.60","147.30","141.00","6.13M","-0.41%"
"12/15/2024","144.60","148.50","151.00","137.50","16.97M","-3.60%"
"12/08/2024","150.00","153.90","158.00","145.60","23.35M","-1.06%"
"12/01/2024","151.60","154.40","156.70","151.20","16.22M","-1.88%"
"11/24/2024","154.50","154.10","156.90","149.50","17.47M","1.64%"
"11/17/2024","152.00","141.50","154.00","139.00","18.99M","7.12%"
"11/10/2024","141.90","146.40","149.80","138.10","24.27M","-3.47%"
"11/03/2024","147.00","152.30","157.30","143.90","21.84M","-3.80%"
"10/27/2024","152.80","159.90","160.10","152.80","14.13M","-4.32%"
"10/20/2024","159.70","164.10","168.70","159.60","12.41M","-2.62%"
"10/13/2024","164.00","160.00","166.80","158.00","19.62M","4.79%"
"10/06/2024","156.50","159.00","161.60","154.10","22.25M","-0.95%"
"09/29/2024","158.00","161.00","162.10","156.10","21.79M","-2.11%"
"09/22/2024","161.40","161.20","169.00","160.80","22.56M","0.87%"
"09/15/2024","160.00","156.40","162.70","156.30","18.67M","2.43%"
"09/08/2024","156.20","156.90","160.60","151.70","18.80M","-0.51%"
"09/01/2024","157.00","154.00","157.00","148.30","13.88M","2.75%"
"08/25/2024","152.80","154.00","155.40","150.80","19.10M","-0.78%"
"08/18/2024","154.00","141.00","154.10","141.00","17.66M","8.68%"
"08/11/2024","141.70","144.00","145.40","136.50","11.50M","-1.60%"
"08/04/2024","144.00","139.00","144.00","135.70","14.09M","2.27%"
"07/28/2024","140.80","146.00","146.30","135.70","17.17M","-3.56%"
"07/21/2024","146.00","149.50","150.80","141.30","14.35M","-1.88%"
"07/14/2024","148.80","143.00","149.60","139.10","15.97M","3.55%"
"07/07/2024","143.70","139.30","145.20","138.40","19.37M","3.53%"
"06/30/2024","138.80","128.00","139.60","127.10","11.38M","8.27%"
