"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2026","136.50","140.70","140.80","131.00","7.10M","-2.92%"
"05/10/2026","140.60","166.00","167.00","129.10","21.03M","-14.53%"
"05/03/2026","164.50","160.20","168.00","160.00","5.14M","3.46%"
"04/26/2026","159.00","162.80","162.90","159.00","2.19M","-2.33%"
"04/19/2026","162.80","164.40","165.80","158.40","5.60M","-0.49%"
"04/12/2026","163.60","169.50","169.90","159.50","11.63M","-3.48%"
"04/05/2026","169.50","179.00","179.00","168.50","10.15M","-4.94%"
"03/29/2026","178.30","181.90","183.50","175.00","2.82M","-2.03%"
"03/22/2026","182.00","184.90","185.40","173.00","3.39M","-1.62%"
"03/15/2026","185.00","190.50","192.90","181.60","6.05M","-2.63%"
"03/08/2026","190.00","197.80","202.60","189.00","5.78M","-4.86%"
"03/01/2026","199.70","209.80","211.00","194.80","5.15M","-6.68%"
"02/22/2026","214.00","208.00","221.80","208.00","7.87M","2.88%"
"02/15/2026","208.00","207.80","210.00","200.80","4.15M","0.10%"
"02/08/2026","207.80","198.60","211.20","196.10","9.40M","4.63%"
"02/01/2026","198.60","205.00","205.40","198.10","3.90M","-3.12%"
"01/25/2026","205.00","203.00","207.40","196.10","5.04M","0.99%"
"01/18/2026","203.00","213.60","215.00","203.00","5.31M","-4.87%"
"01/11/2026","213.40","206.80","214.60","204.60","6.28M","3.59%"
"01/04/2026","206.00","183.80","214.80","182.00","9.93M","12.32%"
"12/28/2025","183.40","179.90","184.50","177.90","1.39M","2.46%"
"12/21/2025","179.00","183.00","186.30","176.50","3.00M","-1.10%"
"12/14/2025","181.00","184.00","190.20","180.90","9.31M","-0.55%"
"12/07/2025","182.00","181.00","184.90","173.30","6.58M","1.34%"
"11/30/2025","179.60","189.90","191.90","172.70","9.48M","-4.97%"
"11/23/2025","189.00","199.80","200.20","188.00","4.93M","-5.41%"
"11/16/2025","199.80","183.00","200.80","183.00","7.65M","9.78%"
"11/09/2025","182.00","190.00","195.00","182.00","4.80M","-4.21%"
"11/02/2025","190.00","217.20","219.80","185.00","5.86M","-12.28%"
"10/26/2025","216.60","219.00","220.40","215.00","1.68M","-0.91%"
"10/19/2025","218.60","220.00","221.00","215.20","1.08M","-0.64%"
"10/12/2025","220.00","219.60","220.60","215.80","1.83M","0.00%"
