"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2026","608.00","629.50","636.00","603.50","1.22M","-3.49%"
"05/10/2026","630.00","649.00","657.50","628.00","1.19M","-2.40%"
"05/03/2026","645.50","653.50","670.00","645.50","794.19K","-1.00%"
"04/26/2026","652.00","641.00","679.50","638.00","983.78K","1.72%"
"04/19/2026","641.00","632.50","648.00","628.00","698.52K","1.42%"
"04/12/2026","632.00","610.00","655.00","606.00","1.32M","3.86%"
"04/05/2026","608.50","605.00","616.50","605.00","697.66K","0.75%"
"03/29/2026","604.00","603.50","617.50","596.00","476.02K","0.08%"
"03/22/2026","603.50","606.50","610.00","591.50","812.87K","0.08%"
"03/15/2026","603.00","607.00","614.50","593.50","738.62K","-0.33%"
"03/08/2026","605.00","615.00","615.00","586.00","917.05K","-1.94%"
"03/01/2026","617.00","625.00","628.50","600.00","1.40M","-3.29%"
"02/22/2026","638.00","616.00","640.00","615.00","2.09M","3.57%"
"02/15/2026","616.00","596.00","616.00","593.50","759.72K","2.16%"
"02/08/2026","603.00","599.00","614.00","591.00","1.21M","0.67%"
"02/01/2026","599.00","590.00","613.50","585.00","1.08M","1.53%"
"01/25/2026","590.00","584.00","592.00","579.00","1.09M","1.20%"
"01/18/2026","583.00","590.00","592.50","577.00","1.04M","-1.19%"
"01/11/2026","590.00","588.50","600.00","576.00","1.78M","0.00%"
"01/04/2026","590.00","575.00","603.50","575.00","1.55M","0.85%"
"12/28/2025","585.00","576.00","585.00","570.00","339.13K","1.74%"
"12/21/2025","575.00","580.00","589.00","570.00","545.00K","0.00%"
"12/14/2025","575.00","590.00","598.00","575.00","2.85M","-2.62%"
"12/07/2025","590.50","590.00","607.00","584.50","903.01K","0.25%"
"11/30/2025","589.00","591.50","595.50","583.00","824.68K","-0.42%"
"11/23/2025","591.50","594.00","618.00","585.00","1.88M","-0.42%"
"11/16/2025","594.00","582.50","599.00","578.50","1.21M","1.89%"
"11/09/2025","583.00","545.00","610.00","545.00","1.26M","6.97%"
"11/02/2025","545.00","580.00","586.00","542.00","1.19M","-6.84%"
"10/26/2025","585.00","579.00","589.00","565.00","1.02M","1.04%"
"10/19/2025","579.00","559.50","595.00","558.50","1.98M","3.95%"
"10/12/2025","557.00","555.00","562.00","545.00","1.53M","-0.18%"
"10/05/2025","558.00","546.00","558.00","532.50","1.20M","2.20%"
"09/28/2025","546.00","524.50","549.50","523.00","1.21M","5.00%"
"09/21/2025","520.00","543.00","549.50","515.50","1.46M","-3.53%"
"09/14/2025","539.00","537.00","558.00","536.00","1.31M","0.56%"
"09/07/2025","536.00","537.50","542.00","532.00","721.03K","-0.28%"
"08/31/2025","537.50","537.00","544.00","527.00","995.90K","0.47%"
"08/24/2025","535.00","542.00","547.00","531.50","2.42M","-2.19%"
"08/17/2025","547.00","556.00","556.00","530.00","1.33M","-2.32%"
"08/10/2025","560.00","545.00","560.00","535.50","1.82M","2.75%"
"08/03/2025","545.00","535.50","550.50","533.50","819.14K","1.77%"
"07/27/2025","535.50","534.00","547.50","533.00","817.00K","0.37%"
"07/20/2025","533.50","544.00","550.00","531.00","1.37M","-1.93%"
"07/13/2025","544.00","541.00","549.00","532.50","840.11K","0.65%"
"07/06/2025","540.50","537.00","545.00","528.00","939.79K","1.03%"
"06/29/2025","535.00","543.50","550.50","530.00","804.50K","-0.19%"
"06/22/2025","536.00","547.00","551.00","533.00","884.16K","-1.02%"
"06/15/2025","541.50","542.00","557.50","536.50","1.25M","-0.09%"
"06/08/2025","542.00","534.00","551.00","517.50","858.93K","1.69%"
"06/01/2025","533.00","540.00","547.00","530.00","897.93K","-3.09%"
