Date,Price,Open,High,Low,Volume,Change_pct,company
05/17/2026,608.0,599.0,612.00,595.5,1310000.0,1.5,SM
05/10/2026,599.0,610.0,628.00,587.0,1590000.0,-1.8,SM
05/03/2026,610.0,607.5,617.50,598.0,1720000.0,0.66,SM
04/26/2026,606.0,629.0,629.00,606.0,838240.0,-3.66,SM
04/19/2026,629.0,613.0,633.00,611.0,681130.0,3.11,SM
04/12/2026,610.0,617.0,634.00,602.0,1470000.0,-1.77,SM
04/05/2026,621.0,632.5,635.00,603.0,1200000.0,-1.9,SM
03/29/2026,633.0,615.0,648.00,590.0,1990000.0,1.93,SM
03/22/2026,621.0,628.0,629.00,600.0,1480000.0,-1.11,SM
03/15/2026,628.0,637.0,639.50,620.5,1300000.0,-1.41,SM
03/08/2026,637.0,662.0,662.00,625.0,2370000.0,-6.32,SM
03/01/2026,680.0,698.0,704.50,679.0,1700000.0,-3.55,SM
02/22/2026,705.0,699.0,713.50,695.0,1900000.0,0.86,SM
02/15/2026,699.0,697.0,699.00,690.0,841100.0,1.6,SM
02/08/2026,688.0,704.5,716.50,688.0,2020000.0,-1.71,SM
02/01/2026,700.0,700.0,706.50,695.0,1770000.0,0.0,SM
01/25/2026,700.0,705.0,725.00,688.0,2070000.0,-0.71,SM
01/18/2026,705.0,742.0,754.50,699.0,1520000.0,-4.99,SM
01/11/2026,742.0,730.0,757.50,723.0,1610000.0,1.64,SM
01/04/2026,730.0,717.0,743.00,711.0,1890000.0,1.46,SM
12/28/2025,719.5,700.0,719.50,693.0,601460.0,2.79,SM
12/21/2025,700.0,700.0,712.50,692.5,519920.0,0.0,SM
12/14/2025,700.0,705.0,718.00,695.0,2650000.0,0.0,SM
12/07/2025,700.0,709.0,718.00,698.0,1060000.0,-1.34,SM
11/30/2025,709.5,742.0,753.00,707.5,1640000.0,-4.12,SM
11/23/2025,740.0,728.0,745.00,706.5,2370000.0,1.65,SM
11/16/2025,728.0,677.0,729.50,674.0,2800000.0,7.53,SM
11/09/2025,677.0,701.5,713.50,675.5,1650000.0,-3.56,SM
11/02/2025,702.0,728.0,728.00,701.0,2490000.0,-3.7,SM
10/26/2025,729.0,739.0,742.50,728.5,1270000.0,-0.95,SM
10/19/2025,736.0,746.0,753.00,731.5,828870.0,-1.34,SM
10/12/2025,746.0,735.0,750.00,730.0,1100000.0,1.5,SM
10/05/2025,735.0,745.5,750.00,730.0,1330000.0,-1.34,SM
09/28/2025,745.0,732.0,759.50,730.0,1520000.0,1.78,SM
09/21/2025,732.0,764.0,764.50,728.0,3000000.0,-4.19,SM
09/14/2025,764.0,750.0,765.00,738.5,2690000.0,2.28,SM
09/07/2025,747.0,764.5,769.00,742.5,2840000.0,-2.16,SM
08/31/2025,763.5,757.0,768.00,748.5,2260000.0,1.13,SM
08/24/2025,755.0,784.0,785.00,753.0,2870000.0,-2.71,SM
08/17/2025,776.0,800.0,805.00,773.0,1880000.0,-2.51,SM
08/10/2025,796.0,795.0,815.00,782.0,10950000.0,0.13,SM
08/03/2025,795.0,834.0,849.00,795.0,2260000.0,-4.68,SM
07/27/2025,834.0,845.0,845.00,815.0,1000000.0,-1.3,SM
07/20/2025,845.0,824.5,848.00,820.0,1210000.0,3.11,SM
07/13/2025,819.5,890.0,908.50,816.0,2370000.0,-7.87,SM
07/06/2025,889.5,885.5,918.00,870.0,987060.0,0.51,SM
06/29/2025,885.0,880.0,918.50,872.0,1320000.0,0.57,SM
06/22/2025,880.0,877.0,892.00,850.0,1710000.0,0.23,SM
06/15/2025,878.0,870.0,884.50,858.0,1300000.0,0.34,SM
06/08/2025,875.0,849.0,883.50,849.0,2210000.0,2.94,SM
06/01/2025,850.0,846.0,862.50,835.0,824230.0,1.8,SM
05/25/2025,835.0,879.0,879.00,835.0,2040000.0,-5.01,SM
05/18/2025,879.0,880.0,889.50,850.5,986850.0,0.46,SM
05/11/2025,875.0,888.95,906.41,851.0,1200000.0,-0.79,SM
05/04/2025,881.96,885.95,888.95,848.04,990580.0,-0.45,SM
04/27/2025,885.95,852.03,893.94,828.59,2030000.0,3.86,SM
04/20/2025,853.03,808.13,862.01,802.15,1100000.0,5.97,SM
04/13/2025,805.0,800.5,829.50,785.0,541400.0,0.63,SM
04/06/2025,800.0,750.0,803.50,744.0,4890000.0,2.56,SM
03/30/2025,780.0,785.0,797.50,761.0,1200000.0,-0.13,SM
03/23/2025,781.0,800.5,804.00,778.0,1180000.0,-2.38,SM
